index,filename,title,full_year,start_year,mid_year,end_year,circa,continent,country,artstor_url,image_url,artstor_artist,first_artist,second_artist,notes,attributed_to,attributed_to_2,attributed_to_3,copy_of,in_style_of,workshop_of,circle_of
2883,0003637.jpeg,"Portrait of Paulus Verschuur, Served seven terms as Burgomaster of Rotterdam and also Director of the Rotterdam Chamber of the East India Company, elected 1651 [Paulus Verschuur (1606-67), gekozen in 1651]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313629039;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4501_8b_srgb.jpg,"schilder: Werff, Pieter van der; kopie naar schilder: Hals, Frans",Pieter van der Werff,,,,,,Frans Hals,,,
2884,0003638.jpeg,"Portrait of Adriaen Paets, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1668 [Adriaen Paets (1631-86), gekozen in 1668]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313629045;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4511_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2885,0003639.jpeg,"Portrait of Willem Hartigsvelt, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1657 [Willem Hartigsvelt (gest. 1664), gekozen in 1657]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313629040;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4504_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2886,0003640.jpeg,"Portrait of Cornelis Jansz Hartigsvelt, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1639 [Cornelis Jansz Hartigsvelt (voor 1586-1641), gekozen in 1639]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313628997;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4497_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2887,0003641.jpeg,"Portrait of Adriaen Besemer, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1642 [Adriaen Besemer, gekozen in 1642]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313630285;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4498_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2888,0003642.jpeg,"Portrait of Johan van der Veecque, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1602 [Johan van der Veecque, gekozen in 1602]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313630283;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4490_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2889,0003643.jpeg,"Portrait of Dominicus Rosmale, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1677 [Dominicus Rosmale, gekozen in 1677]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313629046;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4512_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2890,0003644.jpeg,"Portrait of Claes Maertensz Thoveling, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1619 [Claes Maertensz Thoveling, gekozen in 1619]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313628994;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4493_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2891,0003645.jpeg,"Portrait of Ewoud Pietersz van der Horst, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1618 [Ewoud Pietersz van der Horst (gest voor 1624), gekozen in 1618]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313628993;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4492_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2892,0003646.jpeg,"Portrait of Adriaen Paets, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1703 [Adriaen Paets (1657-1712), gekozen in 1703]",1703 - 1722,1703,1712.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313629048;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4518_8b_srgb.jpg,"toegeschreven aan schilder: Werff, Pieter van der",Unsure,,,Pieter van der Werff,,,,,,
2893,0003647.jpeg,"Portrait of Jan van der Burgh, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1649 [Jan van der Burgh, gekozen in 1649]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313629038;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4500_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2894,0003648.jpeg,"Portrait of Cornelis van den Bergh, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1659 [Cornelis van den Bergh, gekozen in 1659]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313629041;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4506_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2895,0003649.jpeg,"Portrait of a Man, presumably Theodorus Rijswijk, Alderman in Amsterdam [Portret van een man, vermoedelijk Theodorus Rijswijk (1668-1729), schepen te Amsterdam]",ca. 1700 - ca. 1722,1700,1711,1722,yes,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313630117;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-631_8b_srgb.jpg,"toegeschreven aan schilder: Werff, Pieter van der",Unsure,,,Pieter van der Werff,,,,,,
2896,0003650.jpeg,"Portrait of Gerard van Bergen, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1653 [Gerard van Bergen (gest 1663), gekozen in 1653]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313630322;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4502_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2897,0003651.jpeg,"Portrait of Joost van Coulster, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1630 [Joost van Coulster (gest.1649), gekozen in 1630]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313630284;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4495_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2898,0003652.jpeg,"Portrait of a Woman, possibly Elisabeth Hollaer, Wife of Theodorus Rijswijk [Portret van een vrouw, vermoedelijk Elisabeth Hollaer, echtgenote van Theodorus Rijswijk]",ca. 1700 - ca. 1722,1700,1711,1722,yes,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313628823;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-632_8b_srgb.jpg,"toegeschreven aan schilder: Werff, Pieter van der",Unsure,,,Pieter van der Werff,,,,,,
2899,0003653.jpeg,"Portrait of Hendrik Nobel, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1625 [Hendrik Nobel (1568-1649), gekozen in 1625]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313628995;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4494_8b_srgb.jpg,"schilder: Werff, Pieter van der; kopie naar schilder: Cool, Jan Daemen",Pieter van Werff,,,,,,,Jan Daemen Cool,,
2900,0003654.jpeg,"Portrait of Pieter Sonmans, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1631 [Pieter Sonmans (gest. 1660), gekozen in 1631]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313628996;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4496_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
2901,0003655.jpeg,"Portrait of Johan de Vries, Director of the Rotterdam Chamber of the Dutch East India Company, elected 1667 [Johan de Vries (1607-77), gekozen in 1667]",1695 - 1722,1695,1708.5,1722,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313630324;prevRouteTS=1568656004100,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-4509_8b_srgb.jpg,"schilder: Werff, Pieter van der",Pieter van der Werff,,,,,,,,,
